citizenId,firstName,lastName,email,phoneNo,password,address,latitude,longitude
,Nichole,Verma,nichole_verma2327@gmail.com,8924671092,LGF69CRO0HV,"12 Ring Road, Accra, Ghana",5.596592,-0.192913
,Sharon,Chandrasekar,c-sharon@yahoo.com,6654529828,GXH27EFS2TY,"5 Cantonments Road, Accra, Ghana",5.556141,-0.178045
,Zena,Vijaya,vijayazena@yahoo.com,6752074068,YJP73RIU3WI,"14 Liberation Link, Accra, Ghana",5.587674,-0.219493
,Elvis,Shan,shan-elvis314@yahoo.com,9857182947,GDP56WRF4TT,"2 Sunflower Street, Accra, Ghana",5.595543,-0.203262
,Patience,Srivastav,patience-srivastav@gmail.com,8486856150,HKU71VTR7NL,"23 Ollenu Street, Accra, Ghana",5.589737,-0.210365
,Elliott,Pal,e.pal5535@gmail.com,9471170290,MRH93WSJ3MQ,"4 Nii Klu Osae Link, Accra, Ghana",5.598462,-0.204703
,Dominique,Jai,jaidominique5858@gmail.com,9391984268,MPQ61KRG8WO,"15 Patrice Lumumba Road, Accra, Ghana",5.606636,-0.199449
,Odysseus,Rastogi,orastogi8865@yahoo.com,9145573046,SFU52BVX3QG,"8 Mankata Avenue, Accra, Ghana",5.580107,-0.190502
,Shad,Punj,punjshad@yahoo.com,9731095787,CHU23COW7TE,"20 Lagos Avenue, Accra, Ghana",5.595587,-0.210034
,Maggy,Sharma,msharma@yahoo.com,9437928191,SOO71JYV5BX,"16 Liberation Avenue, Accra, Ghana",5.584698,-0.212284
,Patience,Neelam,p-neelam@yahoo.com,7024594522,VPH61LOT0OD,"1 Kojo Thompson Road, Accra, Ghana",5.596812,-0.206853
,Daquan,Tyagi,d.tyagi@gmail.com,8991316383,LWN44KVI2AK,"23 Kofi Annan Street, Accra, Ghana",5.586413,-0.213818
,Donovan,Sen,d.sen@gmail.com,6433369110,WEJ76DCL3XL,"6 Independence Avenue, Accra, Ghana",5.556071,-0.192452
,Cody,Chande,c.cody@yahoo.com,7935374198,VAU67VJL9IB,"9 Ridge Road, Accra, Ghana",5.555297,-0.187668
,Nina,Ganesh,gnina8108@gmail.com,8439532272,YHX87YPT6TG,"11 Castle Road, Accra, Ghana",5.554103,-0.203227
,Adrian,Lalit,lalit_adrian7196@gmail.com,8408679719,YWJ42PFU7HV,"4th Avenue Extension, Accra, Ghana",5.594192,-0.186385
,Roth,Sharma,rothsharma@gmail.com,7097971559,GWC11OFS9WH,"2 Switchback Lane, Accra, Ghana",5.595658,-0.197154
,Sonya,Kapoor,kapoor.sonya5820@gmail.com,9066316649,WFK16HLP8FX,"7 Cantonments Road, Accra, Ghana",5.553879,-0.179971
,Vernon,Samuel,samuelvernon@gmail.com,6525860615,BZO76YUB3BH,"8 Manet Palms Avenue, Accra, Ghana",5.601752,-0.193175
,Amelia,Narang,a.narang@yahoo.com,6900665693,OFO42BBE0JS,"12 Josiah Tongogara Street, Accra, Ghana",5.594067,-0.204275
,Boris,Sharma,sharmaboris525@yahoo.com,6083300168,PSW47MIS8CO,"10 Barnes Road, Accra, Ghana",5.594803,-0.20229
,Alma,Subram,subram_alma8243@yahoo.com,7866199157,RIX87SFB1PZ,"5th Circular Road, Accra, Ghana",5.604234,-0.209497
,Noah,Muthu,n.muthu@yahoo.com,6564102333,TMZ61ANW5UU,"13 Switchback Lane, Accra, Ghana",5.598312,-0.196074
,Bevis,Kishore,kishore_bevis8370@gmail.com,8976023638,MCH02WQJ8KQ,"11 Liberation Avenue, Accra, Ghana",5.584488,-0.208752
,Idola,Muthu,muthu_idola@yahoo.com,7263147731,PKG87OHM5AB,"5 Independence Avenue, Accra, Ghana",5.557926,-0.191125
,Melinda,Mittal,mittalmelinda8631@yahoo.com,7215521163,BTJ31HFU8PG,"2nd Castle Road, Accra, Ghana",5.550268,-0.199809
,Axel,Malhotra,a-malhotra8059@gmail.com,8628474572,BUR76SPM6XD,"10 1st Circular Road, Accra, Ghana",5.603788,-0.208539
,Charity,Sen,c-sen5466@gmail.com,6284064278,TBC84TPY9DI,"15th Circular Road, Accra, Ghana",5.603396,-0.205142
,Kylynn,Veena,veena.kylynn3278@gmail.com,8474076338,VGG57JXD8BJ,"6th Circular Road, Accra, Ghana",5.603233,-0.200444
,Ivy,Narang,narang.ivy996@gmail.com,9937495453,UYH43ETQ1FL,"4th Circular Road, Accra, Ghana",5.60465,-0.193615
,Dalton,Puri,d.puri@yahoo.com,7540706171,KKM87WHP6OS,"14 1st Circular Road, Accra, Ghana",5.603879,-0.189746
,Keegan,Srivastava,k_srivastava2907@gmail.com,8892501891,GEX47NZW5XM,"9 2nd Circular Road, Accra, Ghana",5.604233,-0.186348
